id,title,description,domain
T-0162,GitHub Actions stages run out of order – make step skipped,A misconfigured CircleCI pipeline runs stages out of order so the Maven step is skipped since last release. The artifact is never produced. Stage dependency declarations need to be fixed.,build
T-0163,Lint check fails on every PR after make upgrade,Upgrading make introduced new linting rules that fail on existing code after a config change. Over 200 files have style violations. Auto-fix should be run and the config should be updated.,build
T-0164,Maven build fails on dependency resolution since last release,The npm build cannot resolve a transitive dependency after deploy. The package registry returns a 404 for the pinned version. Unpinning or mirroring the dependency is needed.,build
T-0165,Broken build – cargo can't find config file in GitHub Actions,Maven exits immediately because the config file is missing from the GitHub Actions workspace only in production. The file was gitignored but is required for the build. It should be added to the repo or generated during CI setup.,build
T-0166,GitLab CI pipeline fails at Gradle step,The Buildkite workflow errors out during the npm step intermittently. Build logs show a missing environment variable. The secret was removed from the CI environment without notice.,build
T-0167,Build time tripled since adding make to GitLab CI,Build duration jumped from 4 minutes to 14 minutes after integrating Maven into GitLab CI since last release. Caching is not configured for the new step. Enabling dependency caching cuts the time back to baseline.,build
T-0168,Build time tripled since adding Maven to Buildkite,Build duration jumped from 4 minutes to 14 minutes after integrating Gradle into GitHub Actions intermittently. Caching is not configured for the new step. Enabling dependency caching cuts the time back to baseline.,build
T-0169,Build time tripled since adding pip to Buildkite,Build duration jumped from 4 minutes to 14 minutes after integrating npm into GitHub Actions intermittently. Caching is not configured for the new step. Enabling dependency caching cuts the time back to baseline.,build
T-0170,Docker image fails to build – layer cache invalidated,The Docker image build fails because the layer cache is stale only in production. A base image digest changed and make reinstalls everything from scratch. Pinning the base image tag resolves it.,build
T-0171,Buildkite deployment fails – artifact not found after pip build,The deployment step in CircleCI cannot locate the artifact produced by cargo after the migration. The output directory path changed in the new make version. CI config must reference the correct output path.,build
T-0172,cargo test step exits with code 137 in Jenkins,The cargo test job is killed with OOM (exit 137) in GitHub Actions under high load. The runner has insufficient memory for the full test suite. Parallelising tests or upgrading the runner tier is needed.,build
T-0173,cargo fails with permission denied on GitLab CI runner,The Gradle step writes to a directory the GitLab CI runner user cannot access after deploy. Runner runs as a non-root user without write permission. Either the directory permissions or the runner user must be fixed.,build
T-0174,Broken build – pip can't find config file in GitHub Actions,make exits immediately because the config file is missing from the GitHub Actions workspace only in production. The file was gitignored but is required for the build. It should be added to the repo or generated during CI setup.,build
T-0175,Gradle build fails on dependency resolution on every request,The Gradle build cannot resolve a transitive dependency after a config change. The package registry returns a 404 for the pinned version. Unpinning or mirroring the dependency is needed.,build
T-0176,npm fails with permission denied on CircleCI runner,The cargo step writes to a directory the GitHub Actions runner user cannot access under high load. Runner runs as a non-root user without write permission. Either the directory permissions or the runner user must be fixed.,build
T-0177,CircleCI stages run out of order – cargo step skipped,A misconfigured Buildkite pipeline runs stages out of order so the make step is skipped after deploy. The artifact is never produced. Stage dependency declarations need to be fixed.,build
T-0178,nothing builds anymore – webpack keeps crashing,"Every time Maven runs it just crashes intermittently. No useful error message, just a non-zero exit code. This started after someone merged a Dependabot PR without reviewing it.",build
T-0179,webpack test step exits with code 137 in GitLab CI,The webpack test job is killed with OOM (exit 137) in GitHub Actions only in production. The runner has insufficient memory for the full test suite. Parallelising tests or upgrading the runner tier is needed.,build
T-0180,Lint check fails on every PR after Docker upgrade,Upgrading Docker introduced new linting rules that fail on existing code under high load. Over 200 files have style violations. Auto-fix should be run and the config should be updated.,build
T-0181,npm build fails on dependency resolution under high load,The pip build cannot resolve a transitive dependency on every request. The package registry returns a 404 for the pinned version. Unpinning or mirroring the dependency is needed.,build
T-0182,cargo test step exits with code 137 in Buildkite,The Gradle test job is killed with OOM (exit 137) in Jenkins since last release. The runner has insufficient memory for the full test suite. Parallelising tests or upgrading the runner tier is needed.,build
T-0183,Buildkite pipeline fails at cargo step,The GitLab CI workflow errors out during the Maven step since last release. Build logs show a missing environment variable. The secret was removed from the CI environment without notice.,build
T-0184,make test step exits with code 137 in CircleCI,The make test job is killed with OOM (exit 137) in CircleCI after deploy. The runner has insufficient memory for the full test suite. Parallelising tests or upgrading the runner tier is needed.,build
T-0185,npm fails with permission denied on Buildkite runner,The Gradle step writes to a directory the GitHub Actions runner user cannot access only in production. Runner runs as a non-root user without write permission. Either the directory permissions or the runner user must be fixed.,build
T-0186,GitLab CI deployment fails – artifact not found after npm build,The deployment step in CircleCI cannot locate the artifact produced by npm after the migration. The output directory path changed in the new make version. CI config must reference the correct output path.,build
T-0187,Build time tripled since adding make to GitHub Actions,Build duration jumped from 4 minutes to 14 minutes after integrating Maven into GitLab CI under high load. Caching is not configured for the new step. Enabling dependency caching cuts the time back to baseline.,build
T-0188,nothing builds anymore – npm keeps crashing,"Every time npm runs it just crashes after deploy. No useful error message, just a non-zero exit code. This started after someone merged a Dependabot PR without reviewing it.",build
T-0189,Docker build fails on dependency resolution only in production,The npm build cannot resolve a transitive dependency after the migration. The package registry returns a 404 for the pinned version. Unpinning or mirroring the dependency is needed.,build
T-0190,nothing builds anymore – pip keeps crashing,"Every time Maven runs it just crashes after the migration. No useful error message, just a non-zero exit code. This started after someone merged a Dependabot PR without reviewing it.",build
T-0191,GitHub Actions stages run out of order – Gradle step skipped,A misconfigured CircleCI pipeline runs stages out of order so the Docker step is skipped only in production. The artifact is never produced. Stage dependency declarations need to be fixed.,build
T-0192,pip build fails on dependency resolution since last release,The webpack build cannot resolve a transitive dependency intermittently. The package registry returns a 404 for the pinned version. Unpinning or mirroring the dependency is needed.,build
T-0193,Jenkins deployment fails – artifact not found after cargo build,The deployment step in Buildkite cannot locate the artifact produced by Maven under high load. The output directory path changed in the new Gradle version. CI config must reference the correct output path.,build
T-0194,Broken build – npm can't find config file in Jenkins,npm exits immediately because the config file is missing from the GitLab CI workspace intermittently. The file was gitignored but is required for the build. It should be added to the repo or generated during CI setup.,build
T-0195,GitLab CI deployment fails – artifact not found after webpack build,The deployment step in Jenkins cannot locate the artifact produced by webpack on every request. The output directory path changed in the new Gradle version. CI config must reference the correct output path.,build
T-0196,Build time tripled since adding Docker to CircleCI,Build duration jumped from 4 minutes to 14 minutes after integrating webpack into GitLab CI under high load. Caching is not configured for the new step. Enabling dependency caching cuts the time back to baseline.,build
T-0197,Buildkite stages run out of order – npm step skipped,A misconfigured CircleCI pipeline runs stages out of order so the cargo step is skipped after a config change. The artifact is never produced. Stage dependency declarations need to be fixed.,build
T-0198,GitLab CI stages run out of order – Maven step skipped,A misconfigured Buildkite pipeline runs stages out of order so the Docker step is skipped under high load. The artifact is never produced. Stage dependency declarations need to be fixed.,build
T-0199,nothing builds anymore – Maven keeps crashing,"Every time webpack runs it just crashes only in production. No useful error message, just a non-zero exit code. This started after someone merged a Dependabot PR without reviewing it.",build
T-0200,Lint check fails on every PR after cargo upgrade,Upgrading webpack introduced new linting rules that fail on existing code since last release. Over 200 files have style violations. Auto-fix should be run and the config should be updated.,build
